title	user	upload_time	number_of_play	number of comment	like	repost
GIRIBOY (기리보이) - 내일은 없다 (Feat. lIlBOI, nafla) (No Tomorrow)	L2Share♫140	15 days ago	45,911 plays	23 comments	1,246	16
GIRIBOY (기리보이) - 우린 결국 그렇게 (Feat. Seori) (That's How We Ended Up)	L2Share♫140	15 days ago	31,575 plays	13 comments	992	8
GIRIBOY (기리보이) - 엉망진창 (What A Mess)	L2Share♫140	15 days ago	58,127 plays	10 comments	1,948	11
GIRIBOY (기리보이) - 그리고 돌아섰다 (You Turned Around)	L2Share♫140	15 days ago	22,788 plays	4 comments	832	10
NCT 127 - Sticker	L2Share♫140	1 month ago	285,815 plays	236 comments	8,054	86
NCT 127 - Lemonade	L2Share♫140	1 month ago	216,142 plays	119 comments	6,429	59
MAMAMOO (마마무) - 하늘 땅 바다만큼 (mumumumuch)	L2Share♫140	1 month ago	56,902 plays	35 comments	1,367	29
MAMAMOO (마마무) - Happier than Ever (분명 우린 그땐 좋았었어)	L2Share♫140	1 month ago	18,854 plays	2 comments	398	12
Han Yo Han (한요한) - 이게 나야 (Feat. CHANGMO (창모)) (This Is Me)	L2Share♫140	1 month ago	100,597 plays	17 comments	1,842	18
Lee Mujin (이무진) - 가을 타나 봐 (Fall in Fall)	L2Share♫140	1 month ago	198,920 plays	30 comments	4,574	41
3107-3 ( Cover by Mickey & Thuy An )	Đặng Gia Linh	2 months ago	25,425 plays	18 comments	97	31
Tình Đơn Phương Nguyên Ft. KOO	Đặng Gia Linh	3 months ago	812,367 plays	69 comments	7,022	185
Chiều nay không có mưa bay - Cover	Đặng Gia Linh	3 months ago	5,282 plays	12 comments	69	45
3107 cover (demo )	Đặng Gia Linh	4 months ago	3,794 plays	13 comments	66	42
Obito Ft. Hnhngan Live YOUR SMILE - Emma X Seachains X Obito	Đặng Gia Linh	6 months ago	5,815,928 plays	695 comments	52.4K	1,486
Thói Quen- Hoàng Dũng	Đặng Gia Linh	9 months ago	36,382 plays	2 comments	345	10
CHÚNG TA CỦA HIỆN TẠI l SƠN TÙNG MT-P ( nguyên. cover )	Đặng Gia Linh	10 months ago	82,951 plays	5 comments	480	21
Nàng Thơ - Hoàng Dũng ( Nguyên. Cover )	Đặng Gia Linh	1 year ago	4,229 plays	1 comment	45	0
